Date,FTSE 100
31/03/2020,5671.96
30/03/2020,5563.74
27/03/2020,5510.33
26/03/2020,5815.73
25/03/2020,5688.20
24/03/2020,5446.01
23/03/2020,4993.89
20/03/2020,5190.78
19/03/2020,5151.61
18/03/2020,5080.58
17/03/2020,5294.90
16/03/2020,5151.08
13/03/2020,5366.11
12/03/2020,5237.48
11/03/2020,5876.52
10/03/2020,5960.23
09/03/2020,5965.77
06/03/2020,6462.55
05/03/2020,6705.43
04/03/2020,6815.59
03/03/2020,6718.20
02/03/2020,6654.89
28/02/2020,6580.61
27/02/2020,6796.40
26/02/2020,7042.47
25/02/2020,7017.88
24/02/2020,7156.83
21/02/2020,7403.92
20/02/2020,7436.64
19/02/2020,7457.02
18/02/2020,7382.01
17/02/2020,7433.25
14/02/2020,7409.13
13/02/2020,7452.03
12/02/2020,7534.37
11/02/2020,7499.44
10/02/2020,7446.88
07/02/2020,7466.70
06/02/2020,7504.79
05/02/2020,7482.48
04/02/2020,7439.82
03/02/2020,7326.31
31/01/2020,7286.01
30/01/2020,7381.96
29/01/2020,7483.57
28/01/2020,7480.69
27/01/2020,7412.05
24/01/2020,7585.98
23/01/2020,7507.67
22/01/2020,7571.92
21/01/2020,7610.70
20/01/2020,7651.44
17/01/2020,7674.56
16/01/2020,7609.81
15/01/2020,7642.80
14/01/2020,7622.35
13/01/2020,7617.60
10/01/2020,7587.85
09/01/2020,7598.12
08/01/2020,7574.93
07/01/2020,7573.85
06/01/2020,7575.34
03/01/2020,7622.40
02/01/2020,7604.30
31/12/2019,7542.44
30/12/2019,7587.05
27/12/2019,7644.90
24/12/2019,7632.24
23/12/2019,7623.59
20/12/2019,7582.48
19/12/2019,7573.82
18/12/2019,7540.75
17/12/2019,7525.28
16/12/2019,7519.05
13/12/2019,7353.44
12/12/2019,7273.47
11/12/2019,7216.25
10/12/2019,7213.76
09/12/2019,7233.90
06/12/2019,7239.66
05/12/2019,7137.85
04/12/2019,7188.50
03/12/2019,7158.76
02/12/2019,7285.94
29/11/2019,7346.53
28/11/2019,7416.43
27/11/2019,7429.78
26/11/2019,7403.14
25/11/2019,7396.29
22/11/2019,7326.81
21/11/2019,7238.55
20/11/2019,7262.49
19/11/2019,7323.80
18/11/2019,7307.70
15/11/2019,7302.94
14/11/2019,7292.76
